pop_year,geo,population
2019,BE,11455519
2019,BG,7000039
2019,CZ,10649800
2019,DK,5806081
2019,DE,83019213
2019,EE,1324820
2019,IE,4904240
2019,EL,10724599
2019,ES,46937060
2019,FR,67012883
2019,HR,4076246
2019,IT,60359546
2019,CY,875899
2019,LV,1919968
2019,LT,2794184
2019,LU,613894
2019,HU,9772756
2019,MT,493559
2019,NL,17282163
2019,AT,8858775
2019,PL,37972812
2019,PT,10276617
2019,RO,19414458
2019,SI,2080908
2019,SK,5450421
2019,FI,5517919
2019,SE,10230185
2019,CH,8544527
2019,NO,5328212
2019,Lombardia,10060574
2019,Emilia-Romagna,1639591
2019,UK,67834517
2019,USA,329256465
